year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh
2043,NCC-H2,True,31.043127416254347,35.54,35.54,323.62078727361353,394.7007872736135,,3.6514910745924873,,,Energy-based,0.2,2.2566480388079895,13756.3,730.2982149184975,,,,
2043,NCC-Electricity,True,31.043127416254347,40.2,40.2,424.0317781956067,504.43177819560674,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2043,RE_PPA,True,6.46076052631579,0.0,0.0,250.86368756349097,250.86368756349097,191.37809613147607,,,,Energy-based,,,,,,,0.152,165.79
2044,Heat_Pump,True,3.2918471733493444,22.4,13.44,261.98950844852163,297.8295084485216,191.37809613147607,3.481004901960784,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2044,NCC-H2,True,31.043127416254347,34.92,34.92,308.5111051521819,378.35110515218196,,3.481004901960784,,,Energy-based,0.2,2.2566480388079895,13756.3,696.2009803921568,,,,
2044,NCC-Electricity,True,31.043127416254347,39.6,39.6,424.0317781956067,503.2317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2044,RE_PPA,True,6.088167647058824,0.0,0.0,254.97786199390788,254.97786199390788,191.37809613147607,,,,Energy-based,,,,,,,0.136,169.45
2045,Heat_Pump,True,3.2918471733493444,22.0,13.2,261.98950844852163,297.1895084485216,191.37809613147607,3.3105178065201986,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2045,NCC-H2,True,31.043127416254347,34.3,34.300000000000004,293.4013412449454,362.00134124494537,,3.3105178065201986,,,Energy-based,0.2,2.2566480388079895,13756.3,662.1035613040397,,,,
2045,NCC-Electricity,True,31.043127416254347,39.0,39.0,424.0317781956067,502.0317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2045,RE_PPA,True,5.616216666666666,0.0,0.0,261.11565902108686,261.11565902108686,191.37809613147607,,,,Energy-based,,,,,,,0.12,173.1
2046,Heat_Pump,True,3.2918471733493444,21.6,12.959999999999999,261.98950844852163,296.54950844852164,191.37809613147607,3.1736467930545715,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2046,NCC-H2,True,31.043127416254347,33.68,33.68,281.2708706432538,348.6308706432538,,3.1736467930545715,,,Energy-based,0.2,2.2566480388079895,13756.3,634.7293586109143,,,,
2046,NCC-Electricity,True,31.043127416254347,38.4,38.4,424.0317781956067,500.8317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2046,RE_PPA,True,5.251527272727273,0.0,0.0,243.63493552460127,243.63493552460127,191.37809613147607,,,,Energy-based,,,,,,,0.11,176.76
2047,Heat_Pump,True,3.2918471733493444,21.2,12.719999999999999,261.98950844852163,295.90950844852165,191.37809613147607,3.036774856780061,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2047,NCC-H2,True,31.043127416254347,33.06,33.06,269.14031825575705,335.26031825575706,,3.036774856780061,,,Energy-based,0.2,2.2566480388079895,13756.3,607.3549713560122,,,,
2047,NCC-Electricity,True,31.043127416254347,37.8,37.800000000000004,424.0317781956067,499.63177819560667,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2047,RE_PPA,True,4.8139,0.0,0.0,219.36192262952147,219.36192262952147,191.37809613147607,,,,Energy-based,,,,,,,0.1,180.41
2048,Heat_Pump,True,3.2918471733493444,20.8,12.48,261.98950844852163,295.2695084485216,191.37809613147607,2.8999038433144344,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2048,NCC-H2,True,31.043127416254347,32.44,32.44,257.0098476540654,321.8898476540654,,2.8999038433144344,,,Energy-based,0.2,2.2566480388079895,13756.3,579.9807686628869,,,,
2048,NCC-Electricity,True,31.043127416254347,37.2,37.2,424.0317781956067,498.43177819560674,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2048,RE_PPA,True,4.279022222222222,0.0,0.0,182.70240328690193,182.70240328690193,191.37809613147607,,,,Energy-based,,,,,,,0.09,184.07
2049,Heat_Pump,True,3.2918471733493444,20.4,12.24,261.98950844852163,294.6295084485216,191.37809613147607,2.7630319070399247,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2049,NCC-H2,True,31.043127416254347,31.82,31.82,244.87929526656873,308.51929526656875,,2.7630319070399247,,,Energy-based,0.2,2.2566480388079895,13756.3,552.6063814079849,,,,
2049,NCC-Electricity,True,31.043127416254347,36.6,36.6,424.0317781956067,497.2317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2049,RE_PPA,True,3.610425,0.0,0.0,121.93653771586905,121.93653771586905,191.37809613147607,,,,Energy-based,,,,,,,0.08,187.72
2050,Heat_Pump,True,3.2918471733493444,20.0,12.0,261.98950844852163,293.98950844852163,191.37809613147607,2.626159970765414,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2050,NCC-H2,True,31.043127416254347,31.2,31.2,232.748742879072,295.148742879072,,2.626159970765414,,,Energy-based,0.2,2.2566480388079895,13756.3,525.2319941530828,,,,
2050,NCC-Electricity,True,31.043127416254347,36.0,36.0,424.0317781956067,496.0317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2050,RE_PPA,True,2.7508,0.0,0.0,-0.09519342619626059,-0.09519342619626059,191.37809613147607,,,,Energy-based,,,,,,,0.07,191.38
