facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,BASF Korea,Ulsan,EPS,Utility,85,1982,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,ABS,Utility,757,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,ABS,Utility,1030,1978,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,ABS,Utility,290,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Korea INEOS Styrolution,Ulsan,ABS,Utility,276,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,PVC,Utility,240,1998,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,PVC,Utility,450,1976,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Yeosu,PVC,Utility,480,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Solutions,Ulsan,PVC,Utility,330,1966,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Impact,Daesan,TPA,Utility,700,1997,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Samnam Petrochemical,Yeosu,TPA,Utility,1500,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha Impact,Ulsan,TPA,Utility,1300,1995,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Taekwang Industrial,Ulsan,TPA,Utility,1000,1980,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hyosung Chemical,Ulsan,TPA,Utility,420,1997,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Caprolactam,Ulsan,CPLM,Utility,270,1974,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Chemical,Ulsan,DMT,Utility,160,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
