year,scenario,company,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd
2025,shaheen_ncc_h2_20c,Samyang Innochem,173.39527683854283,173.39527683854283,0.0,0.0
2025,shaheen_ncc_h2_20c,Taekwang Industrial,729179.1991792785,729179.1991792785,0.0,0.0
2025,shaheen_ncc_h2_20c,Ulsan Aromatics,124809.7331236873,124809.7331236873,0.0,0.0
2025,shaheen_ncc_h2_20c,Ulsan PP,250975.99875811828,250975.99875811828,0.0,0.0
2025,shaheen_ncc_h2_20c,Yeochon NCC,6032089.659866812,6032089.659866812,0.0,0.0
2025,shaheen_ncc_h2_20c,Yongsan Chemical,6812.205680577497,6812.205680577497,0.0,0.0
2026,shaheen_ncc_elec_15c,Aekyung Chemical,44942.63063475732,43149.04858648948,1793.5820482678396,0.0
2026,shaheen_ncc_elec_15c,Arkema,61847.656836822,59379.42466030663,2468.2321765153683,0.0
2026,shaheen_ncc_elec_15c,BASF Korea,58997.70377180259,56643.20825430405,2354.4955174985403,0.0
2026,shaheen_ncc_elec_15c,Birla Carbon Korea,213.80600941285877,205.27338426656576,8.532625146292986,0.0
2026,shaheen_ncc_elec_15c,Bluecube Chemical,57.60576419413811,55.30681855886747,2.298945635270641,0.0
2026,shaheen_ncc_elec_15c,Caprolactam,408827.74927632674,562920.2197221427,-154092.4704458159,40990599.99999999
2026,shaheen_ncc_elec_15c,DL Chemical,308276.2095222039,295973.44336237287,12302.766159831062,0.0
2026,shaheen_ncc_elec_15c,Daehan Oil Chemical,3106181.9816523697,3628277.951548268,-522095.9698958983,411200439.99999994
2026,shaheen_ncc_elec_15c,Dongseo Petrochemical,206846.05230981577,198591.1869194699,8254.865390345833,0.0
2026,shaheen_ncc_elec_15c,Downing Chemical,33.23409472738738,31.90777993780816,1.326314789579218,0.0
2026,shaheen_ncc_elec_15c,GS Caltex,4178172.8566943873,5134613.66519155,-956440.8084971623,683573800.0
