scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_15c,2042,Ulsan,22130929.276215024,8363107.07674758,9329867.000776136,9.329867000776137,1646804600.0,1778134588.7613986,66320407.99999999,58202466.0,2516722499.5015125,863110784.7401143,25757668.966263697,799848.0
shaheen_ncc_h2_15c,2042,Other,432184.00829651015,170072.11698114953,92361.51055390252,0.09236151055390253,110896799.99999999,2872032.0990774943,4435871.999999999,3326903.9999999995,37332869.21511294,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2043,Daesan,19800108.505871844,2636208.8042899985,14022156.992799029,14.02215699279903,1961704500.0,2938986689.7608304,78468179.99999999,73083092.25,3730683305.070982,943247887.5601515,20579738.108290873,1323903.0
shaheen_ncc_h2_15c,2043,Yeosu,25771247.357066404,6848590.074825213,13470773.788441537,13.470773788441537,1844704995.0,2806587401.6901045,73788199.8,68955229.35,3553701303.7271466,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2043,Ulsan,22130929.276215024,6896073.533772428,10645280.857930256,10.645280857930256,1746093300.0,1970754922.0605135,70284227.99999999,62313842.5,2763774588.1210814,925617736.560568,26093759.898655202,923818.0
shaheen_ncc_h2_15c,2043,Other,432184.00829651015,148794.10413274833,106306.89356379582,0.10630689356379582,108868199.99999999,1593086.3128046407,4354727.999999999,3266045.9999999995,36195925.428840086,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2044,Daesan,19800108.505871844,2350150.4445847557,14179051.721471794,14.179051721471794,1918572600.0,2812546977.9537296,76742904.0,71458159.49999999,3607593802.0138807,943247887.5601515,20579738.108290873,1323903.0
shaheen_ncc_h2_15c,2044,Yeosu,25771247.357066404,6485456.63302806,13609768.867139561,13.609768867139561,1804038810.0,2686135839.732378,72161552.4,67418637.3,3436412981.2194204,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2044,Ulsan,22130929.276215024,4772929.535444239,12645859.599880228,12.645859599880227,1915255999.9999998,2298893423.290574,77043007.99999999,69220178.99999999,3177284961.4497833,1024654725.1592089,26626267.609717067,1120238.0
shaheen_ncc_h2_15c,2044,Other,432184.00829651015,127668.07709040718,120152.666695047,0.120152666695047,106839599.99999999,348765.27411538316,4273583.999999999,3205187.9999999995,35093606.39015083,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2045,Daesan,19800108.505871844,2062034.1110686832,14337075.189199759,14.337075189199759,1875440700.0,2689474068.515493,75017628.0,69833226.75,3487871101.3256445,943247887.5601515,20579738.108290873,1323903.0
shaheen_ncc_h2_15c,2045,Yeosu,25771247.357066404,4251827.324919511,15690287.353613408,15.690287353613408,1976089850.0,2996310291.4756384,79043594.0,74390734.25,3837371555.3173103,994495592.091672,26687332.993418653,1473955.0
shaheen_ncc_h2_15c,2045,Ulsan,22130929.276215024,4400161.788908199,12831212.681721758,12.831212681721759,1873267199.9999998,2190564691.192209,75355728.0,67680455.5,3072183232.8514175,1024654725.1592089,26626267.609717067,1120238.0
shaheen_ncc_h2_15c,2045,Other,432184.00829651015,106390.06424200597,134098.0497049403,0.1340980497049403,104810999.99999999,-861985.4870174769,4192439.9999999995,3144329.9999999995,34024857.62901797,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2046,Daesan,19800108.505871844,1773917.7775526107,14495098.656927722,14.495098656927722,1832308800.0,2569659533.2181673,73292352.0,68208294.0,3371406774.778319,943247887.5601515,20579738.108290873,1323903.0
shaheen_ncc_h2_15c,2046,Yeosu,25771247.357066404,3878204.6630116496,15840937.727271354,15.840937727271355,1930235440.0,2864462850.4364796,77209417.6,72646613.19999999,3709102411.7281513,994495592.091672,26687332.993418653,1473955.0
shaheen_ncc_h2_15c,2046,Ulsan,22130929.276215024,3590832.3329508626,13470680.295808246,13.470680295808247,1879578399.9999998,2180464787.926301,75600448.0,68072731.99999999,3085799690.937634,1049008083.0113336,26757212.12883064,1168538.0
shaheen_ncc_h2_15c,2046,Other,432184.00829651015,85112.05139360478,148043.4327148336,0.14804343271483358,102782399.99999999,-2040188.327548387,4111295.9999999995,3083471.9999999995,32988656.78848706,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2047,Daesan,19800108.505871844,872048.5382720951,15292354.338497845,15.292354338497846,1855106400.0,2580879344.183117,74204256.0,69220541.25,3414797135.486243,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_15c,2047,Yeosu,25771247.357066404,3504582.0011037877,15991588.1009293,15.991588100929299,1884381030.0,2736083893.99673,75375241.19999999,70902492.15,3584301752.7384014,994495592.091672,26687332.993418653,1473955.0
shaheen_ncc_h2_15c,2047,Ulsan,22130929.276215024,2660931.115074642,14236866.239244496,14.236866239244497,1896032599.9999998,2189478337.468422,76250888.0,68870728.49999999,3124212390.592447,1079855669.6240249,26923075.1863745,1229718.0
shaheen_ncc_h2_15c,2047,Other,432184.00829651015,63834.03854520359,161988.81572472685,0.16198881572472684,100753799.99999999,-3186834.469337919,4030151.9999999995,3022613.9999999995,31984012.64669753,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2048,Daesan,19800108.505871844,581365.6921813966,15453849.674925026,15.453849674925026,1810284000.0,2461799459.7069316,72411360.0,67527988.5,3299202699.760058,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_15c,2048,Yeosu,25771247.357066404,766934.1417096391,18607467.705478083,18.607467705478083,2084929070.0,3080590438.7224054,83397162.8,79014469.1,4043451930.5799875,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_15c,2048,Ulsan,22130929.276215024,2284008.062465399,14427840.441837136,14.427840441837136,1851306799.9999998,2080636242.4725084,74454128.0,67221525.0,3018816259.096533,1079855669.6240249,26923075.1863745,1229718.0
shaheen_ncc_h2_15c,2048,Other,432184.00829651015,42556.02569680239,175934.19873462015,0.17593419873462016,98725199.99999999,-4302884.947348128,3949007.9999999995,2961755.9999999995,31009964.168687318,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2049,Daesan,19800108.505871844,290682.8460906983,15615345.011352204,15.615345011352204,1765461600.0,2345815707.389953,70618464.0,65835435.74999999,3186704396.193079,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_15c,2049,Yeosu,25771247.357066404,383467.07085481955,18771435.17550373,18.77143517550373,2032590385.0,2938376167.567719,81303615.4,77010977.05,3905334698.8753004,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_15c,2049,Ulsan,22130929.276215024,669313.1480287652,15911166.546910949,15.911166546910948,1931678000.0,2208789914.973205,77661247.99999999,70576201.49999999,3208597537.083179,1148045071.6099744,27289719.839892507,1364958.0
shaheen_ncc_h2_15c,2049,Other,432184.00829651015,21278.012848401195,189879.58174451347,0.18987958174451347,96696599.99999999,-5389271.528961277,3867863.9999999995,2900897.9999999995,30065579.58707417,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2050,Daesan,19800108.505871844,0.0,15776840.347779384,15.776840347779384,1720639200.0,2232828808.077794,68825568.0,64142883.0,3077202945.63092,977342588.5531261,20763060.435049877,1391523.0
shaheen_ncc_h2_15c,2050,Yeosu,25771247.357066404,0.0,18935402.645529386,18.935402645529386,1980251700.0,2799833529.694749,79210068.0,75007485.0,3770889100.4523306,1125273123.757582,27390505.061058544,1733326.0
shaheen_ncc_h2_15c,2050,Ulsan,22130929.276215024,0.0,16588756.489553513,16.588756489553514,1934286200.0,2212212653.62072,77757847.99999999,70820357.99999999,3211679519.2306943,1148045071.6099744,27289719.839892507,1421308.0
shaheen_ncc_h2_15c,2050,Other,432184.00829651015,0.0,203824.96475440674,0.20382496475440673,94667999.99999999,-6446897.605301438,3786719.9999999995,2840039.9999999995,29149955.51073401,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2025,Daesan,17217485.657279864,17217485.657279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752183.842566231,0.0
shaheen_ncc_h2_20c,2025,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277933.230763266,0.0
shaheen_ncc_h2_20c,2025,Ulsan,19244286.3271435,19244286.3271435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261121.675682966,0.0
shaheen_ncc_h2_20c,2025,Other,375812.18112740014,375812.18112740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476689.4581816963,0.0
shaheen_ncc_h2_20c,2026,Daesan,19800108.505871844,16687984.228230633,2936810.9369672057,2.9368109369672055,1566852000.0,2081246580.271883,62674079.999999985,54646619.999999985,2455192850.5304027,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2026,Yeosu,25771247.357066404,25037226.940972302,438397.61381074484,0.4383976138107448,999037200.0,845315757.2633619,39961488.0,32757060.0,1077302773.2079523,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2026,Ulsan,22130929.276215024,23377287.08842604,-1493747.557530179,-1.4937475575301788,1120173599.9999998,160585760.84415972,45440639.99999999,33605207.99999999,518231807.68694353,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2026,Other,432184.00829651015,636212.5841671958,-213141.9872414026,-0.2131419872414026,162287999.99999997,30371348.348649606,6491519.999999999,4868639.999999999,61234801.46468506,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2027,Daesan,19800108.505871844,16372089.689838663,3077392.1346851783,3.0773921346851782,1501566499.9999998,2000127489.6997304,60062659.999999985,52369677.5,2378962122.45825,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2027,Yeosu,25771247.357066404,24637200.975183193,542800.7773165136,0.5428007773165135,957410650.0,808945174.7175679,38296426.0,31392182.5,1043962130.1621581,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2027,Ulsan,22130929.276215024,22968847.856425423,-1332698.0708487267,-1.3326980708487266,1073821699.9999998,141535593.17071894,43563379.99999999,32214650.999999993,502449457.0135027,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2027,Other,432184.00829651015,609767.0539127542,-195809.86835767806,-0.19580986835767805,155525999.99999997,28033149.619796764,6221039.999999999,4665779.999999999,59369942.735832214,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2028,Daesan,19800108.505871844,16056195.151446689,3217973.332403152,3.217973332403152,1436280999.9999998,1921254051.3097286,57451239.999999985,50092734.999999985,2304977046.5682483,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2028,Yeosu,25771247.357066404,24237175.009394072,647203.9408222826,0.6472039408222826,915784100.0,773562283.9881575,36631364.0,30027305.0,1011609178.9327477,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2028,Ulsan,22130929.276215024,22560408.624424804,-1171648.5841672746,-1.1716485841672746,1027469799.9999998,122966064.83489649,41686119.99999999,30824093.999999993,487147745.6776803,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2028,Other,432184.00829651015,583321.5236583127,-178477.74947395353,-0.17847774947395353,148763999.99999997,25751743.72762166,5950559.999999999,4462919.999999999,57561876.84365711,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2029,Daesan,19800108.505871844,15740300.613054719,3358554.530121125,3.358554530121125,1370995499.9999998,1844553264.7684388,54839819.999999985,47815792.499999985,2233164622.5269585,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2029,Yeosu,25771247.357066404,23837149.043604955,751607.104328051,0.751607104328051,874157550.0,739135324.6027471,34966302.0,28662427.5,980212159.0473373,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2029,Ulsan,22130929.276215024,22151969.39242419,-1010599.0974858225,-1.0105990974858226,981117899.9999998,104862538.33574945,39808859.99999999,29433536.999999993,472312036.1785333,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2029,Other,432184.00829651015,556875.9934038712,-161145.63059022903,-0.16114563059022904,142001999.99999997,23525401.090012826,5680079.999999999,4260059.999999999,55808874.20604827,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2030,Daesan,19800108.505871844,15424406.074662745,3499135.7278390983,3.499135727839098,1305709999.9999998,1769954557.509921,52228400.0,45538849.999999985,2163454277.7684407,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2030,Yeosu,25771247.357066404,23437123.077815842,856010.2678338194,0.8560102678338194,832531000.0,705633577.9266796,33301240.0,27297550.0,949740351.8712697,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2030,Ulsan,22130929.276215024,21743530.16042357,-849549.6108043704,-0.8495496108043704,934765999.9999998,87210821.9461553,37931599.99999999,28042979.999999993,457928136.7889391,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2030,Other,432184.00829651015,530430.4631494298,-143813.51170650445,-0.14381351170650444,135239999.99999997,21352444.79795018,5409599.999999999,4057199.999999999,54109257.91398563,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2031,Daesan,19800108.505871844,15172053.541119732,3611439.0984298936,3.6114390984298934,1284305049.9999998,1700666012.6637661,51372201.99999999,44782995.24999999,2095777785.6722858,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2031,Yeosu,25771247.357066404,23117562.105145227,939412.7950022207,0.9394127950022206,819379715.0,675095224.6093428,32775188.6,26861553.949999996,920164046.003933,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2031,Ulsan,22130929.276215024,21417248.245204683,-720895.1358117166,-0.7208951358117166,920783149.9999998,72278445.63711369,37364558.0,27623494.499999993,443982287.97989744,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2031,Other,432184.00829651015,509304.4361070885,-129967.73857525332,-0.12996773857525332,133211399.99999997,19562587.01138671,5328455.999999999,3996341.999999999,52461402.12742216,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2032,Daesan,19800108.505871844,14919701.007576719,3723742.469020688,3.723742469020688,1262900099.9999998,1633345360.776497,50516003.99999999,44027140.49999999,2030069186.5350163,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2032,Yeosu,25771247.357066404,22798001.132474616,1022815.322170622,1.022815322170622,806228430.0,645423634.9942621,32249137.2,26425557.9,891454503.8388523,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2032,Ulsan,22130929.276215024,21090966.3299858,-592240.6608190624,-0.5922406608190623,906800299.9999998,57770779.415485464,36797515.99999999,27204008.999999993,430461149.25826925,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2032,Other,432184.00829651015,488178.40906474733,-116121.96544400208,-0.11612196544400208,131182799.99999997,17822913.403982155,5247311.999999999,3935483.999999999,50863730.5200176,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2033,Daesan,19800108.505871844,14667348.474033708,3836045.8396114823,3.8360458396114825,1241495149.9999998,1567928832.7296047,49659805.99999999,43271285.75,1966264711.2381244,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2033,Yeosu,25771247.357066404,22478440.159804,1106217.8493390235,1.1062178493390236,793077145.0,616591012.9532695,31723085.8,25989561.85,863583929.2478596,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2033,Ulsan,22130929.276215024,20764684.414766915,-463586.1858264083,-0.4635861858264083,892817449.9999999,43674889.062577866,36230474.0,26784523.499999996,417351786.4053616,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2033,Other,432184.00829651015,467052.38202240627,-102276.19231275095,-0.10227619231275095,129154199.99999999,16131895.655201167,5166167.999999999,3874625.9999999995,49314714.77123661,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2034,Daesan,19800108.505871844,14414995.940490697,3948349.2102022767,3.948349210202277,1220090199.9999998,1504354776.2608736,48803607.99999999,42515430.99999999,1904302707.5193932,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2034,Yeosu,25771247.357066404,22158879.18713338,1189620.3765074247,1.1896203765074247,779925860.0,588570472.6064254,31197034.4,25553565.8,836525436.3510157,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2034,Ulsan,22130929.276215024,20438402.499548037,-334931.7108337538,-0.3349317108337538,878834599.9999999,29978234.26136946,35663431.99999999,26365037.999999996,404641659.1041532,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2034,Other,432184.00829651015,445926.354980065,-88430.41918149975,-0.08843041918149974,127125599.99999999,14488051.988333564,5085023.999999999,3813767.9999999995,47812873.104369015,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2035,Daesan,19800108.505871844,14162643.406947682,4060652.5807930715,4.060652580793072,1198685250.0,1442563584.748951,47947410.0,41759576.24999999,1844123568.7574706,491266970.2585195,18154858.528274275,454825.0
shaheen_ncc_h2_20c,2035,Yeosu,25771247.357066404,21839318.214462765,1273022.903675826,1.273022903675826,766774575.0,561336008.1407032,30670983.0,25117569.75,810253019.3352935,304705563.9445902,22989998.033857245,165830.0
shaheen_ncc_h2_20c,2035,Ulsan,22130929.276215024,20112120.58432915,-206277.23584110005,-0.20627723584110005,864851749.9999999,16668656.600537892,35096389.99999999,25945552.499999996,392318608.9433217,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2035,Other,432184.00829651015,424800.32793772384,-74584.64605024856,-0.07458464605024856,125096999.99999999,12889945.753037918,5003879.999999999,3752909.9999999995,46356768.86907337,42223613.11603545,1519858.0606000854,0.0
