year,scenario,technology,emissions_tco2,abatement_tco2
2044,shaheen_ncc_elec_20c,NCC-Electricity,10937971.596770527,35249758.07539368
2044,shaheen_ncc_elec_20c,RDH,1822917.9681922637,3069835.2179179746
2044,shaheen_ncc_h2_15c,Baseline,11183659.12940892,0.0
2044,shaheen_ncc_h2_15c,Heat_Pump,47067.67854898929,377273.9107932518
2044,shaheen_ncc_h2_15c,NCC-H2,1099582.350577582,36675038.013051204
2044,shaheen_ncc_h2_15c,RDH,1822917.9681922637,3069835.2179179746
2044,shaheen_ncc_h2_20c,Baseline,25007021.5371491,0.0
2044,shaheen_ncc_h2_20c,Heat_Pump,47067.67854898929,377273.9107932518
2044,shaheen_ncc_h2_20c,NCC-H2,620628.9122924337,22713507.200668022
2044,shaheen_ncc_h2_20c,RDH,1822917.9681922637,3069835.2179179746
2045,shaheen_ncc_elec_15c,Heat_Pump,39223.06545749107,385118.5238847501
2045,shaheen_ncc_elec_15c,NCC-Electricity,9114976.330642106,37072753.3415221
2045,shaheen_ncc_elec_15c,RDH,1519098.3068268865,3373654.879283352
2045,shaheen_ncc_elec_20c,Heat_Pump,39223.06545749107,385118.5238847501
2045,shaheen_ncc_elec_20c,NCC-Electricity,9114976.330642106,37072753.3415221
2045,shaheen_ncc_elec_20c,RDH,1519098.3068268865,3373654.879283352
2045,shaheen_ncc_h2_15c,Baseline,9618954.956170589,0.0
2045,shaheen_ncc_h2_15c,Heat_Pump,39223.06545749107,385118.5238847501
2045,shaheen_ncc_h2_15c,NCC-H2,944424.2292368674,37882006.89048493
2045,shaheen_ncc_h2_15c,RDH,1519098.3068268865,3373654.879283352
2045,shaheen_ncc_h2_20c,Baseline,20776289.412591863,0.0
2045,shaheen_ncc_h2_20c,Heat_Pump,39223.06545749107,385118.5238847501
2045,shaheen_ncc_h2_20c,NCC-H2,635014.597304455,26612217.52225219
2045,shaheen_ncc_h2_20c,RDH,1519098.3068268865,3373654.879283352
2046,shaheen_ncc_elec_15c,Heat_Pump,31378.45236599286,392963.1369762483
2046,shaheen_ncc_elec_15c,NCC-Electricity,7291981.064513684,38895748.60765052
2046,shaheen_ncc_elec_15c,RDH,1215278.645461509,3677474.5406487295
2046,shaheen_ncc_elec_20c,Heat_Pump,31378.45236599286,392963.1369762483
2046,shaheen_ncc_elec_20c,NCC-Electricity,7291981.064513684,38895748.60765052
2046,shaheen_ncc_elec_20c,RDH,1215278.645461509,3677474.5406487295
2046,shaheen_ncc_h2_15c,Baseline,7193985.166020753,0.0
2046,shaheen_ncc_h2_15c,Heat_Pump,31378.45236599286,392963.1369762483
2046,shaheen_ncc_h2_15c,NCC-H2,797201.8077800726,39978172.771761134
2046,shaheen_ncc_h2_15c,RDH,1215278.645461509,3677474.5406487295
2046,shaheen_ncc_h2_20c,Baseline,16058127.922517532,0.0
2046,shaheen_ncc_h2_20c,Heat_Pump,31378.45236599286,392963.1369762483
2046,shaheen_ncc_h2_20c,NCC-H2,600264.1889941309,30962485.591591205
2046,shaheen_ncc_h2_20c,RDH,1215278.645461509,3677474.5406487295
2047,shaheen_ncc_elec_15c,Heat_Pump,23533.839274494647,400807.7500677465
2047,shaheen_ncc_elec_15c,NCC-Electricity,5468985.798385263,40718743.87377894
2047,shaheen_ncc_elec_15c,RDH,911458.9840961318,3981294.202014107
2047,shaheen_ncc_elec_20c,Heat_Pump,23533.839274494647,400807.7500677465
2047,shaheen_ncc_elec_20c,NCC-Electricity,5468985.798385263,40718743.87377894
2047,shaheen_ncc_elec_20c,RDH,911458.9840961318,3981294.202014107
2047,shaheen_ncc_h2_15c,Baseline,5725561.435455916,0.0
2047,shaheen_ncc_h2_15c,Heat_Pump,23533.839274494647,400807.7500677465
2047,shaheen_ncc_h2_15c,NCC-H2,613276.7743601489,41121101.7298541
2047,shaheen_ncc_h2_15c,RDH,911458.9840961318,3981294.202014107
2047,shaheen_ncc_h2_20c,Baseline,12294191.965052176,0.0
2047,shaheen_ncc_h2_20c,Heat_Pump,23533.839274494647,400807.7500677465
2047,shaheen_ncc_h2_20c,NCC-H2,503664.9197135075,34393943.66989615
2047,shaheen_ncc_h2_20c,RDH,911458.9840961318,3981294.202014107
2048,shaheen_ncc_elec_15c,Heat_Pump,15689.22618299643,408652.3631592447
2048,shaheen_ncc_elec_15c,NCC-Electricity,3645990.532256842,42541739.13990736
2048,shaheen_ncc_elec_15c,RDH,607639.3227307545,4285113.863379484
2048,shaheen_ncc_elec_20c,Heat_Pump,15689.22618299643,408652.3631592447
2048,shaheen_ncc_elec_20c,NCC-Electricity,3645990.532256842,42541739.13990736
2048,shaheen_ncc_elec_20c,RDH,607639.3227307545,4285113.863379484
2048,shaheen_ncc_h2_15c,Baseline,1931477.586420495,0.0
2048,shaheen_ncc_h2_15c,Heat_Pump,15689.22618299643,408652.3631592447
2048,shaheen_ncc_h2_15c,NCC-H2,445041.28091905825,44675239.7896005
2048,shaheen_ncc_h2_15c,RDH,607639.3227307545,4285113.863379484
2048,shaheen_ncc_h2_20c,Baseline,7969710.397601172,0.0
2048,shaheen_ncc_h2_20c,Heat_Pump,15689.22618299643,408652.3631592447
2048,shaheen_ncc_h2_20c,NCC-H2,377769.69169474696,38448661.42802705
2048,shaheen_ncc_h2_20c,RDH,607639.3227307545,4285113.863379484
2049,shaheen_ncc_elec_15c,Heat_Pump,7844.613091498215,416496.9762507429
2049,shaheen_ncc_elec_15c,NCC-Electricity,1822995.266128421,44364734.40603578
2049,shaheen_ncc_elec_15c,RDH,303819.66136537725,4588933.524744861
2049,shaheen_ncc_elec_20c,Heat_Pump,7844.613091498215,416496.9762507429
2049,shaheen_ncc_elec_20c,NCC-Electricity,1822995.266128421,44364734.40603578
