location,book_value_musd,total_stranded_musd,retirement_loss_musd,retrofit_capex_musd,operational_loss_musd,capacity_kt,total_emissions_kt,stranding_rate_pct,scenario
Ulsan,4432.613333333334,3071.5114127596667,563.0666666666666,1495.4287460930002,1013.016,24105,7967.973640842497,69.29346599356737,scenarios_restructure_40pct_ncc_h2
Yeosu,5759.106666666667,7429.344917634999,1401.4666666666667,4786.9542509683315,1240.924,37216,21054.081726682656,129.00168980435043,scenarios_restructure_40pct_ncc_h2
진해,5.333333333333333,1.5999999999999999,0.0,0.0,1.5999999999999999,100,0.5130741012193226,30.0,scenarios_restructure_40pct_ncc_h2
Busan/Iksan/Siheung,0.0,0.0,0.0,0.0,0.0,530,1.9223844518624071,,scenarios_restructure_40pct_ncc_elec
Daesan,3940.84,5306.075668051803,913.6,3639.067668051803,753.408,27424,17732.266272983074,134.64326559951186,scenarios_restructure_40pct_ncc_elec
Gimcheon,0.0,0.0,0.0,0.0,0.0,0,0.0,,scenarios_restructure_40pct_ncc_elec
Gumi,0.0,0.0,0.0,0.0,0.0,52,0.1886113047110286,,scenarios_restructure_40pct_ncc_elec
Gunsan,40.8,40.8,40.8,0.0,0.0,330,1.347316410518103,100.0,scenarios_restructure_40pct_ncc_elec
Gwangyang,0.0,0.0,0.0,0.0,0.0,390,34.16410705106489,,scenarios_restructure_40pct_ncc_elec
Incheon,468.0,88.0,88.0,0.0,0.0,2100,82.01705545999384,18.803418803418804,scenarios_restructure_40pct_ncc_elec
Jeonju,16.90666666666667,9.706666666666669,9.706666666666669,0.0,0.0,208,0.7544452188441144,57.413249211356465,scenarios_restructure_40pct_ncc_elec
Naju,0.0,0.0,0.0,0.0,0.0,180,0.6528852855381759,,scenarios_restructure_40pct_ncc_elec
Onsan,1217.64,1800.7466149235215,394.1733333333334,1174.7332815901882,231.84,7331,5132.071603998333,147.88826048121953,scenarios_restructure_40pct_ncc_elec
Pohang,0.0,0.0,0.0,0.0,0.0,100,0.3627140475212088,,scenarios_restructure_40pct_ncc_elec
Ulsan,4432.613333333334,3362.7873542710518,771.0666666666666,1625.8326876043855,965.8879999999999,24105,7967.973640842497,75.8646672152256,scenarios_restructure_40pct_ncc_elec
Yeosu,5759.106666666667,7745.217059764656,1814.1733333333334,5214.063726431323,716.98,37216,21054.081726682656,134.48643180362444,scenarios_restructure_40pct_ncc_elec
진해,5.333333333333333,0.0,0.0,0.0,0.0,100,0.5130741012193226,0.0,scenarios_restructure_40pct_ncc_elec
