scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_20c,2032,Daesan,19800108.505871844,15601545.878222909,3038345.272732118,3.0383452727321183,1165092599.9999998,556692943.9568064,46603703.99999999,40114840.49999999,1753536103.3457158,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2032,Yeosu,25771247.357066404,21434311.391182236,2393609.7147477614,2.3936097147477615,1001843430.0,459559468.6336437,40073737.2,34250157.9,1444520670.2174535,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2032,Ulsan,22130929.276215024,21090966.3299858,-592240.6608190624,-0.5922406608190623,906800299.9999998,57770779.415485464,36797515.99999999,27204008.999999993,430461149.25826925,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2032,Other,432184.00829651015,488178.40906474733,-116121.96544400208,-0.11612196544400208,131182799.99999997,17822913.403982155,5247311.999999999,3935483.999999999,50863730.5200176,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2033,Daesan,19800108.505871844,15352121.366123086,3147290.505795846,3.147290505795846,1145498899.9999998,500158361.07793653,45819956.0,39431435.75,1698468673.216846,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2033,Yeosu,25771247.357066404,21108894.37562524,2483728.516970296,2.483728516970296,985069645.0,412962956.25660586,39402785.8,33669261.85,1399176005.2904158,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2033,Ulsan,22130929.276215024,20764684.414766915,-463586.1858264083,-0.4635861858264083,892817449.9999999,43674889.062577866,36230474.0,26784523.499999996,417351786.4053616,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2033,Other,432184.00829651015,467052.38202240627,-102276.19231275095,-0.10227619231275095,129154199.99999999,16131895.655201167,5166167.999999999,3874625.9999999995,49314714.77123661,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2034,Daesan,19800108.505871844,15102696.854023265,3256235.7388595743,3.256235738859574,1125905199.9999998,445216201.6753892,45036207.99999999,38748031.0,1644993666.5642989,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2034,Yeosu,25771247.357066404,20783477.360068243,2573847.3191928305,2.5738473191928306,968295860.0,367678621.7773947,38731834.4,33088365.799999997,1355143518.2612047,1059285096.6838099,23411296.08323702,310730.0
