facility_id,company,product,start_year,retirement_year,capacity_kt,annual_emissions_kt_co2
LG화학_대산_NBR_1996,LG화학,NBR,1996,2021,65,0.29476744186046505
금호석유화학_울산_NBR_1987,금호석유화학,NBR,1987,2012,92,0.4172093023255813
LG화학_여수_NB-Latex_2008,LG화학,NB-Latex,2008,2033,205,0.9296511627906974
금호석유화학_울산_NB-Latex_2012,금호석유화학,NB-Latex,2012,2037,946,4.289999999999999
한솔케미칼_전주_NB-Latex_2021,한솔케미칼,NB-Latex,2021,2046,28,0.12697674418604646
금호폴리켐_여수_EPDM_1987,금호폴리켐,EPDM,1987,2012,310,1.4058139534883716
롯데베르살리스엘라스토머스_여수_EPDM_2018,롯데베르살리스엘라스토머스,EPDM,2018,2043,96,0.4353488372093022
롯데이네오스화학_울산_초산_1991,롯데이네오스화학,초산,1991,2016,710,3.2197674418604643
롯데이네오스화학_울산_초산비닐_1996,롯데이네오스화학,초산비닐,1996,2021,460,2.0860465116279063
한국알콜산업_울산_에탄올_1974,한국알콜산업,에탄올,1974,1999,70,0.3174418604651162
한국알콜산업_울산_초산에틸_1989,한국알콜산업,초산에틸,1989,2014,123,0.5577906976744185
이수화학_울산_알킬벤젠_1973,이수화학,알킬벤젠,1973,1998,180,0.8162790697674417
애경케미칼_울산_PA_1972,애경케미칼,PA,1972,1997,210,0.9523255813953485
OCI_포항_PA_1983,OCI,PA,1983,2008,60,0.27209302325581386
애경케미칼_울산_MA_1988,애경케미칼,MA,1988,2013,8,0.03627906976744185
용산케미칼_울산_MA_1976,용산케미칼,MA,1976,2001,38,0.1723255813953488
코리아피티지_울산_MA_1992,코리아피티지,MA,1992,2017,30,0.13604651162790693
OCI_군산_TDI_1990,OCI,TDI,1990,2015,50,0.22674418604651156
한국바스프_여수_TDI_1988,한국바스프,TDI,1988,2013,160,0.725581395348837
한화솔루션_여수_TDI_1981,한화솔루션,TDI,1981,2006,150,0.6802325581395346
구다우케미칼_여수_MDI_2018,구다우케미칼,MDI,2018,2043,30,0.13604651162790693
금호미쓰이화학_여수_MDI_1992,금호미쓰이화학,MDI,1992,2017,610,2.766279069767441
한국바스프_여수_MDI_1992,한국바스프,MDI,1992,2017,250,1.133720930232558
LG화학_대산_페놀_2013,LG화학,페놀,2013,2038,360,1.6325581395348834
금호피앤비화학_여수_페놀_1980,금호피앤비화학,페놀,1980,2005,680,3.0837209302325572
LG화학_여수_페놀_2005,LG화학,페놀,2005,2030,350,1.587209302325581
LG화학_대산_아세톤_2013,LG화학,아세톤,2013,2038,225,1.020348837209302
금호피앤비화학_여수_아세톤_1980,금호피앤비화학,아세톤,1980,2005,420,1.904651162790697
LG화학_여수_아세톤_2005,LG화학,아세톤,2005,2030,210,0.9523255813953485
삼양이노켐_군산_BPA_2012,삼양이노켐,BPA,2012,2037,180,0.8162790697674417
LG화학_대산_BPA_2013,LG화학,BPA,2013,2038,165,0.7482558139534882
금호피앤비화학_여수_BPA_1991,금호피앤비화학,BPA,1991,2016,450,2.040697674418604
LG화학_여수_BPA_2005,LG화학,BPA,2005,2030,330,1.4965116279069763
Bluecube케미칼_구미_Epoxy Resin_1990,Bluecube케미칼,Epoxy Resin,1990,2015,52,0.235813953488372
국도화학_부산/익산/시흥_Epoxy Resin_1973,국도화학,Epoxy Resin,1973,1998,530,2.4034883720930225
금호피앤비화학_여수_Epoxy Resin_2019,금호피앤비화학,Epoxy Resin,2019,2044,338,1.5327906976744181
LG화학_나주_옥탄올_1982,LG화학,옥탄올,1982,2007,125,0.566860465116279
한화솔루션_여수_옥탄올_1997,한화솔루션,옥탄올,1997,2022,152,0.6893023255813951
LG화학_나주_부탄올_1982,LG화학,부탄올,1982,2007,55,0.24941860465116272
한화솔루션_여수_부탄올_1997,한화솔루션,부탄올,1997,2022,12,0.05441860465116277
금호석유화학_여수_PPG_1997,금호석유화학,PPG,1997,2022,152,0.6893023255813951
피유코어_울산_PPG_1988,피유코어,PPG,1988,2013,220,0.9976744186046509
KPX케미칼_울산_PPG_1990,KPX케미칼,PPG,1990,2015,298,1.3513953488372088
한국바스프_울산_PPG_1975,한국바스프,PPG,1975,2000,119,0.5396511627906975
롯데엠시시_대산_MMA_1995,롯데엠시시,MMA,1995,2020,90,0.40813953488372084
롯데엠시시_여수_MMA_2009,롯데엠시시,MMA,2009,2034,97,0.4398837209302325
롯데케미칼_여수_MMA_2013,롯데케미칼,MMA,2013,2038,50,0.22674418604651156
LXMMA_여수_MMA_2001,LXMMA,MMA,2001,2026,260,1.1790697674418602
롯데엠시시_여수_PMMA_2008,롯데엠시시,PMMA,2008,2033,110,0.7056259733160193
LXMMA_여수_PMMA_1991,LXMMA,PMMA,1991,2016,120,0.769773789072021
아케마_진해_PMMA_1999,아케마,PMMA,1999,2024,100,0.6414781575600175
OCI_광양_카본블랙(CB)_1992,OCI,카본블랙(CB),1992,2017,150,0.6802325581395346
HD현대OCI_대산_카본블랙(CB)_2018,HD현대OCI,카본블랙(CB),2018,2043,136,0.6167441860465114
비틀라카본코리아_여수_카본블랙(CB)_1996,비틀라카본코리아,카본블랙(CB),1996,2021,193,0.8752325581395347
오리온엔지니어드카본즈_여수_카본블랙(CB)_1979,오리온엔지니어드카본즈,카본블랙(CB),1979,2004,170,0.7709302325581393
OCI_포항_카본블랙(CB)_1981,OCI,카본블랙(CB),1981,2006,40,0.18139534883720926
코오롱인더스트리_대산_석유수지_2014,코오롱인더스트리,석유수지,2014,2039,87,0.39453488372093015
코오롱인더스트리_여수_석유수지_2004,코오롱인더스트리,석유수지,2004,2029,50,0.22674418604651156
한화솔루션_여수_석유수지_2019,한화솔루션,석유수지,2019,2044,86,0.38999999999999985
