DeploymentID,TechID,FacilityID,Region,Company,TechGroup,Technology,BaselineCapacity_kt,MaxDeployment_kt,AbatementPotential_tCO2_per_t,TotalAbatementPotential_ktCO2,LCOA_USD_per_tCO2,CAPEX_Million_USD,CommercialYear,TRL,BaselineEmissions_tCO2_per_t,AlternativeEmissions_tCO2_per_t,CumulativeAbatement_MtCO2
BTX_HT_Electric_Yeosu_Hanwha_Chemical,BTX_HT_Electric,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,BTX,Electric furnace,400,400,-1.5579299999999998,-623.1719999999999,inf,88000.0,2030,5,1.8992199999999997,3.4571499999999995,-33.33209100000001
NCC_LT_ElecCompr_Yeosu_Hanwha_Chemical,NCC_LT_ElecCompr,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Electric motor,850,850,-0.2887500000000003,-245.43750000000023,inf,29750.0,2023,9,2.04195,2.3307,-33.577528500000014
NCC_LT_HeatPump_Yeosu_Hanwha_Chemical,NCC_LT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Heat pump,850,850,-0.3443100000000001,-292.6635000000001,inf,38250.0,2024,9,2.04195,2.38626,-33.87019200000002
NCC_MT_ElecHeater_Yeosu_Hanwha_Chemical,NCC_MT_ElecHeater,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Electric heater,850,850,-1.07178,-911.0129999999999,inf,51000.0,2025,9,1.9121199999999998,2.9838999999999998,-34.781205000000014
NCC_MT_HeatPump_Yeosu_Hanwha_Chemical,NCC_MT_HeatPump,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,Heat pump,850,850,-0.22367999999999988,-190.1279999999999,inf,68000.0,2026,8,1.9121199999999998,2.1357999999999997,-34.971333000000016
NCC_HT_Electric_Yeosu_Hanwha_Chemical,NCC_HT_Electric,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,E-cracker,850,850,-2.0288999999999993,-1724.5649999999994,inf,238000.0,2028,6,2.9188,4.947699999999999,-36.695898000000014
C4_LT_ElecCompr_Yeosu_Lotte_Chemical,C4_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Electric motor,250,250,-0.28313999999999995,-70.78499999999998,inf,9500.0,2023,9,1.33176,1.6149,-36.76668300000002
C4_LT_HeatPump_Yeosu_Lotte_Chemical,C4_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Heat pump,250,250,-0.3525900000000002,-88.14750000000005,inf,12500.0,2024,9,1.33176,1.6843500000000002,-36.85483050000002
C4_MT_ElecHeater_Yeosu_Lotte_Chemical,C4_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Electric heater,250,250,-0.8535300000000001,-213.38250000000002,inf,16250.0,2026,8,1.21196,2.06549,-37.06821300000002
C4_MT_HeatPump_Yeosu_Lotte_Chemical,C4_MT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,C4,Heat pump,250,250,-0.35321999999999987,-88.30499999999996,inf,21250.0,2027,7,1.21196,1.5651799999999998,-37.15651800000002
BTX_LT_ElecCompr_Yeosu_Lotte_Chemical,BTX_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric motor,700,700,-0.21369000000000016,-149.5830000000001,inf,22400.0,2023,9,1.5694399999999997,1.7831299999999999,-37.30610100000002
BTX_LT_HeatPump_Yeosu_Lotte_Chemical,BTX_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Heat pump,700,700,-0.2970300000000001,-207.92100000000008,inf,28000.0,2024,9,1.5694399999999997,1.8664699999999999,-37.51402200000002
BTX_MT_ElecHeater_Yeosu_Lotte_Chemical,BTX_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric heater,700,700,-0.6964500000000005,-487.5150000000003,inf,38500.0,2025,9,1.5299199999999997,2.22637,-38.00153700000002
BTX_MT_HeatPump_Yeosu_Lotte_Chemical,BTX_MT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Heat pump,700,700,-0.07674000000000025,-53.718000000000174,inf,49000.0,2026,8,1.5299199999999997,1.60666,-38.05525500000002
BTX_HT_Electric_Yeosu_Lotte_Chemical,BTX_HT_Electric,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,BTX,Electric furnace,700,700,-1.5579299999999998,-1090.551,inf,154000.0,2030,5,1.8992199999999997,3.4571499999999995,-39.14580600000002
NCC_LT_ElecCompr_Yeosu_Lotte_Chemical,NCC_LT_ElecCompr,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Electric motor,1000,1000,-0.2887500000000003,-288.7500000000003,inf,35000.0,2023,9,2.04195,2.3307,-39.43455600000002
NCC_LT_HeatPump_Yeosu_Lotte_Chemical,NCC_LT_HeatPump,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Heat pump,1000,1000,-0.3443100000000001,-344.3100000000001,inf,45000.0,2024,9,2.04195,2.38626,-39.778866000000015
NCC_MT_ElecHeater_Yeosu_Lotte_Chemical,NCC_MT_ElecHeater,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,Electric heater,1000,1000,-1.07178,-1071.78,inf,60000.0,2025,9,1.9121199999999998,2.9838999999999998,-40.85064600000001
NCC_HT_Electric_Yeosu_Lotte_Chemical,NCC_HT_Electric,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,E-cracker,1000,1000,-2.0288999999999993,-2028.8999999999992,inf,280000.0,2028,6,2.9188,4.947699999999999,-42.87954600000002
C4_LT_ElecCompr_Ulsan_SK_Innovation,C4_LT_ElecCompr,Ulsan_SK_Innovation,Ulsan,SK Innovation,C4,Electric motor,100,100,-0.28313999999999995,-28.313999999999993,inf,3420.0000000000005,2023,9,1.33176,1.6149,-42.907860000000014
