company,location,process,capacity_1000_t,age_2025,remaining_life,original_asset_value,current_book_value,stranded_asset_cost_per_year,emissions_tco2,facility_id,original_asset_value_musd,current_book_value_musd,stranded_cost_musd_per_year,emissions_mtco2
금호피앤비화학,Yeosu,Utility,680,45,0,34000000000.0,0.0,0.0,272000,202,34000.0,0.0,0.0,0.272
LG Chem,Yeosu,Utility,350,20,10,17500000000.0,5833333333.333332,583333333.3333333,140000,203,17500.0,5833.333333333332,583.3333333333333,0.14
LG Chem,Daesan,Utility,225,12,18,11250000000.0,6750000000.0,375000000.0,90000,204,11250.0,6750.0,375.0,0.09
금호피앤비화학,Yeosu,Utility,420,45,0,21000000000.0,0.0,0.0,168000,205,21000.0,0.0,0.0,0.168
LG Chem,Yeosu,Utility,210,20,10,10500000000.0,3500000000.0,350000000.0,84000,206,10500.0,3500.0,350.0,0.084
삼양이노켐,군산,Utility,180,13,17,9000000000.0,5100000000.0,300000000.0,72000,207,9000.0,5100.0,300.0,0.072
LG Chem,Daesan,Utility,165,12,18,8250000000.0,4950000000.0,275000000.0,66000,208,8250.0,4950.0,275.0,0.066
금호피앤비화학,Yeosu,Utility,450,34,0,22500000000.0,0.0,0.0,180000,209,22500.0,0.0,0.0,0.18
LG Chem,Yeosu,Utility,330,20,10,16500000000.0,5500000000.0,550000000.0,132000,210,16500.0,5500.0,550.0,0.132
Bluecube케미칼,Gumi,Utility,52,35,0,2600000000.0,0.0,0.0,20800,211,2600.0,0.0,0.0,0.0208
국도화학,Busan/익산/시흥,Utility,530,52,0,26500000000.0,0.0,0.0,212000,212,26500.0,0.0,0.0,0.212
금호피앤비화학,Yeosu,Utility,338,6,24,16900000000.0,13520000000.0,563333333.3333334,135200,213,16900.0,13520.0,563.3333333333334,0.1352
LG Chem,나주,Utility,125,43,0,6250000000.0,0.0,0.0,50000,214,6250.0,0.0,0.0,0.05
한화솔루션,Yeosu,Utility,152,28,2,7600000000.0,506666666.66666603,253333333.33333302,60800,215,7600.0,506.666666666666,253.333333333333,0.0608
LG Chem,나주,Utility,55,43,0,2750000000.0,0.0,0.0,22000,216,2750.0,0.0,0.0,0.022
한화솔루션,Yeosu,Utility,12,28,2,600000000.0,40000000.0,20000000.0,4800,217,600.0,40.0,20.0,0.0048
Kumho Petrochemical,Yeosu,Utility,152,28,2,7600000000.0,506666666.66666603,253333333.33333302,60800,218,7600.0,506.666666666666,253.333333333333,0.0608
피유코어,Ulsan,Utility,220,37,0,11000000000.0,0.0,0.0,88000,219,11000.0,0.0,0.0,0.088
KPX케미칼,Ulsan,Utility,298,35,0,14900000000.0,0.0,0.0,119200,220,14900.0,0.0,0.0,0.1192
한국바스프,Ulsan,Utility,119,50,0,5950000000.0,0.0,0.0,47600,221,5950.0,0.0,0.0,0.0476
롯데엠시시,Daesan,Utility,90,30,0,4500000000.0,0.0,0.0,36000,222,4500.0,0.0,0.0,0.036
롯데엠시시,Yeosu,Utility,97,16,14,4850000000.0,2263333333.3333335,161666666.6666667,38800,223,4850.0,2263.3333333333335,161.66666666666669,0.0388
Lotte Chemical,Yeosu,Utility,50,12,18,2500000000.0,1500000000.0,83333333.33333333,20000,224,2500.0,1500.0,83.33333333333333,0.02
LXMMA,Yeosu,Utility,260,24,6,13000000000.0,2600000000.0,433333333.3333333,104000,225,13000.0,2600.0,433.3333333333333,0.104
롯데엠시시,Yeosu,Utility,110,17,13,5500000000.0,2383333333.333333,183333333.3333333,44000,226,5500.0,2383.333333333333,183.33333333333331,0.044
LXMMA,Yeosu,Utility,120,34,0,6000000000.0,0.0,0.0,48000,227,6000.0,0.0,0.0,0.048
아케마,진해,Utility,100,26,4,5000000000.0,666666666.666667,166666666.66666675,40000,228,5000.0,666.666666666667,166.66666666666674,0.04
OCI,Gwangyang,Utility,150,33,0,7500000000.0,0.0,0.0,60000,229,7500.0,0.0,0.0,0.06
HD현대OCI,Daesan,Utility,136,7,23,6800000000.0,5213333333.333334,226666666.6666667,54400,230,6800.0,5213.333333333334,226.66666666666669,0.0544
비틀라카본코리아,Yeosu,Utility,193,29,1,9650000000.0,321666666.66666603,321666666.66666603,77200,231,9650.0,321.666666666666,321.666666666666,0.0772
오리온엔지니어드카본즈,Yeosu,Utility,170,46,0,8500000000.0,0.0,0.0,68000,232,8500.0,0.0,0.0,0.068
OCI,Pohang,Utility,40,44,0,2000000000.0,0.0,0.0,16000,233,2000.0,0.0,0.0,0.016
코오롱인더스트리,Daesan,Utility,87,11,19,4350000000.0,2755000000.0,145000000.0,34800,234,4350.0,2755.0,145.0,0.0348
코오롱인더스트리,Yeosu,Utility,50,21,9,2500000000.0,750000000.0,83333333.33333333,20000,235,2500.0,750.0,83.33333333333333,0.02
한화솔루션,Yeosu,Utility,86,6,24,4300000000.0,3440000000.0,143333333.33333334,34400,236,4300.0,3440.0,143.33333333333334,0.0344
