Company,Year,TechID,TechName,Category,DeploymentLevel,AbatementContribution_kt,AnnualCost_USD
SK Chemicals,2040,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.02702702702702703,59.791692501741984,2989584.625087099
SK Chemicals,2045,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.02702702702702703,59.791692501741984,2989584.625087099
SK Chemicals,2050,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.02702702702702703,59.791692501741984,2989584.625087099
SK Chemicals,2025,EE_BTX,EE - BTX Plant,Energy Efficiency,0.0003888910262073851,0.8603407482601175,34413.629930404706
SK Chemicals,2030,EE_BTX,EE - BTX Plant,Energy Efficiency,0.010810810810810811,23.916677000696794,956667.0800278718
SK Chemicals,2035,EE_BTX,EE - BTX Plant,Energy Efficiency,0.021232730595414237,46.97301325313347,1878920.5301253388
SK Chemicals,2040,EE_BTX,EE - BTX Plant,Energy Efficiency,0.021621621621621623,47.83335400139359,1913334.1600557435
SK Chemicals,2045,EE_BTX,EE - BTX Plant,Energy Efficiency,0.021621621621621623,47.83335400139359,1913334.1600557435
SK Chemicals,2050,EE_BTX,EE - BTX Plant,Energy Efficiency,0.021621621621621623,47.83335400139359,1913334.1600557435
SK Chemicals,2025,EE_UTL,EE - Utilities,Energy Efficiency,0.003913215951211812,8.657178779367431,259715.36338102294
SK Chemicals,2030,EE_UTL,EE - Utilities,Energy Efficiency,0.10878378378378377,240.66156231951143,7219846.869585343
SK Chemicals,2035,EE_UTL,EE - Utilities,Energy Efficiency,0.21365435161635574,472.6659458596555,14179978.375789667
SK Chemicals,2040,EE_UTL,EE - Utilities,Energy Efficiency,0.21756756756756754,481.32312463902286,14439693.739170685
SK Chemicals,2045,EE_UTL,EE - Utilities,Energy Efficiency,0.21756756756756754,481.32312463902286,14439693.739170685
SK Chemicals,2050,EE_UTL,EE - Utilities,Energy Efficiency,0.21756756756756754,481.32312463902286,14439693.739170685
SK Chemicals,2025,RE_001,Solar Thermal,Renewable Energy,0.0,0.0,0.0
SK Chemicals,2030,RE_001,Solar Thermal,Renewable Energy,0.07750637971809689,171.4667920520249,13717343.364161992
SK Chemicals,2035,RE_001,Solar Thermal,Renewable Energy,0.24020856930080892,531.4116457409418,42512931.659275346
SK Chemicals,2040,RE_001,Solar Thermal,Renewable Energy,0.25,553.0731556411133,44245852.451289065
SK Chemicals,2045,RE_001,Solar Thermal,Renewable Energy,0.25,553.0731556411133,44245852.451289065
SK Chemicals,2050,RE_001,Solar Thermal,Renewable Energy,0.25,553.0731556411133,44245852.451289065
SK Chemicals,2025,RE_002,Solar PV,Renewable Energy,0.0071944839848366235,15.916303842812173,716233.6729265478
SK Chemicals,2030,RE_002,Solar PV,Renewable Energy,0.2,442.4585245128907,19910633.603080083
SK Chemicals,2035,RE_002,Solar PV,Renewable Energy,0.3928055160151634,869.0007451829691,39105033.53323361
SK Chemicals,2040,RE_002,Solar PV,Renewable Energy,0.4,884.9170490257814,39821267.206160165
SK Chemicals,2045,RE_002,Solar PV,Renewable Energy,0.4,884.9170490257814,39821267.206160165
SK Chemicals,2050,RE_002,Solar PV,Renewable Energy,0.4,884.9170490257814,39821267.206160165
SK Chemicals,2025,RE_003,Wind PPAs,Renewable Energy,0.010791725977254935,23.874455764218258,835605.951747639
SK Chemicals,2030,RE_003,Wind PPAs,Renewable Energy,0.3,663.687786769336,23229072.53692676
SK Chemicals,2035,RE_003,Wind PPAs,Renewable Energy,0.589208274022745,1303.5011177744536,45622539.122105874
SK Chemicals,2040,RE_003,Wind PPAs,Renewable Energy,0.6,1327.375573538672,46458145.07385352
SK Chemicals,2045,RE_003,Wind PPAs,Renewable Energy,0.6,1327.375573538672,46458145.07385352
SK Chemicals,2050,RE_003,Wind PPAs,Renewable Energy,0.6,1327.375573538672,46458145.07385352
SK Chemicals,2025,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.00899310498104578,19.895379803515215,1193722.788210913
SK Chemicals,2030,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.25,553.0731556411133,33184389.338466797
SK Chemicals,2035,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.4910068950189542,1086.2509314787114,65175055.88872269
SK Chemicals,2040,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,1106.1463112822266,66368778.676933594
