company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Yeochon NCC,Yeosu,SM,Other,Utility,351,1986,39,0,140.4,0.0,0.005187162242504757,2.3450538038894906,0.7247366779724443,30.904906180421143,False,0.0
SKpicglobal,Ulsan,SM,Other,Utility,400,1990,35,0,160.0,0.0,0.005187162242504757,2.672425987338451,0.8259107441281417,30.904906180421143,False,0.0
LG Chem,Yeosu,EDC,Other,Utility,810,1996,29,1,324.0,10.8,0.005187162242504756,5.411662624360362,1.6724692568594868,30.904906180421143,False,0.0
Hanwha Solutions,Yeosu,EDC,Other,Utility,1586,1980,45,0,634.4000000000001,0.0,0.005187162242504757,10.596169039796957,3.2747361004680813,30.904906180421143,False,0.0
Hanwha Solutions,Ulsan,EDC,Other,Utility,385,1991,34,0,154.0,0.0,0.005187162242504756,2.5722100128132586,0.7949390912233362,30.904906180421143,False,0.0
LG Chem,Daesan,VCM,Other,Utility,230,1997,28,2,92.0,6.133333333333333,0.005187162242504756,1.536644942719609,0.47489867787368134,30.904906180421143,False,0.0
LG Chem,Yeosu,VCM,Other,Utility,720,1990,35,0,288.0,0.0,0.005187162242504756,4.810366777209211,1.4866393394306547,30.904906180421143,False,0.0
Hanwha Solutions,Yeosu,VCM,Other,Utility,583,1979,46,0,233.20000000000002,0.0,0.005187162242504756,3.8950608765457915,1.2037649095667664,30.904906180421143,False,0.0
Hanwha Solutions,Ulsan,VCM,Other,Utility,264,1972,53,0,105.60000000000001,0.0,0.005187162242504756,1.7638011516433774,0.5451010911245734,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,PC,Other,Utility,480,2008,17,13,192.0,83.2,0.003627140475212089,2.242443327395122,0.6930250064805766,30.904906180421143,False,0.0
LG Chem,Yeosu,PC,Other,Utility,170,2001,24,6,68.0,13.600000000000001,0.0036271404752120893,0.7941986784524391,0.24544635646187088,30.904906180421143,False,0.0
Samyang Chemical,Jeonju,PC,Other,Utility,120,1999,26,4,48.0,6.4,0.003627140475212089,0.5606108318487805,0.17325625162014416,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,LDPE,Polymers,Utility,300,2021,4,26,120.0,104.0,0.008551235020322049,3.3041972118524394,1.0211590483390878,30.904906180421143,False,0.0
LG Chem,Daesan,LDPE,Polymers,Utility,280,2006,19,11,112.0,41.06666666666666,0.008551235020322049,3.0839173977289436,0.9530817784498151,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,LDPE,Polymers,Utility,435,1991,34,0,174.0,0.0,0.008551235020322049,4.791085957186038,1.4806806200916773,30.904906180421143,False,0.0
LG Chem,Yeosu,LDPE,Polymers,Utility,180,1990,35,0,72.0,0.0,0.008551235020322049,1.982518327111464,0.6126954290034526,30.904906180421143,False,0.0
Hanwha Solutions,Yeosu,LDPE,Polymers,Utility,337,1979,46,0,134.8,0.0,0.008551235020322049,3.711714867980907,1.1471019976342418,30.904906180421143,False,0.0
Lotte Chemical,Ulsan,LDPE,Polymers,Utility,120,1972,53,0,48.0,0.0,0.008551235020322047,1.3216788847409757,0.4084636193356351,30.904906180421143,False,0.0
Lotte Chemical,Daesan,LDPE,Polymers,Utility,500,2005,20,10,200.0,66.66666666666666,0.008551235020322049,5.506995353087399,1.7019317472318127,30.904906180421143,False,0.0
LG Chem,Daesan,L-LDPE,Polymers,Utility,125,2006,19,11,50.0,18.333333333333332,0.007893447711066509,1.270845081481708,0.3927534801304185,30.904906180421143,False,0.0
