year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,re_ef_tco2_per_mwh,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2038,RE_PPA,True,2.3943505560010867,0.0,0.0,1196.1131008217255,1196.1131008217255,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.21
2039,Heat_Pump,True,1.8663342234989329,27.9,16.74,261.98950844852163,306.6295084485216,191.37809613147607,4.333436687928183,2554942.2619358953,36791168.57187689,Energy-based,,,,,,,,,
2039,NCC-H2,True,17600.103543824203,43.02,43.02,0.38405959754514474,86.42405959754515,,4.333436687928183,,,Energy-based,0.2,2256.6480388079895,7799.224,866.6873375856366,,,,,
2039,NCC-Electricity,True,17597.9587572242,47.64,47.64,0.466491803713087,95.74649180371308,,,,,Energy-based,,2256.6480388079895,7799.224,,5.5,1052.5795287231183,0.05,,
2039,RE_PPA,True,2.182608271703793,0.0,0.0,1472.1392010113545,1472.1392010113545,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.18
2040,Heat_Pump,True,1.7174854817474843,27.0,16.2,261.9895084485215,305.1895084485215,191.37809613147607,4.1629505152964805,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2040,NCC-H2,True,16196.414304132702,41.4,41.4,0.36894991542371325,83.16894991542371,,4.1629505152964805,,,Energy-based,0.2,2256.6480388079895,7177.2,832.5901030592961,,,,,
2040,NCC-Electricity,True,16194.440574132703,46.0,46.0,0.466491803713087,92.46649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2040,RE_PPA,True,1.8540325101778325,0.0,0.0,1913.7809613147606,1913.7809613147606,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.15
2041,Heat_Pump,True,1.7174854817474843,26.55,15.93,261.9895084485215,304.46950844852154,191.37809613147607,3.992464342664777,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2041,NCC-H2,True,16196.414304132702,40.711999999999996,40.711999999999996,0.3538402333022817,81.77784023330227,,3.992464342664777,,,Energy-based,0.2,2256.6480388079895,7177.2,798.4928685329554,,,,,
2041,NCC-Electricity,True,16194.440574132703,45.16,45.160000000000004,0.466491803713087,90.78649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2041,RE_PPA,True,1.6222784464056033,0.0,0.0,2733.97280187823,2733.97280187823,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.12
2042,Heat_Pump,True,1.7174854817474843,26.1,15.66,261.9895084485215,303.7495084485215,191.37809613147607,3.8219772472241904,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2042,NCC-H2,True,16196.414304132702,40.024,40.024,0.33873046939504503,80.38673046939505,,3.8219772472241904,,,Energy-based,0.2,2256.6480388079895,7177.2,764.395449444838,,,,,
2042,NCC-Electricity,True,16194.440574132703,44.32,44.32,0.466491803713087,89.10649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2042,RE_PPA,True,1.2360216734518883,0.0,0.0,4784.452403286901,4784.452403286901,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.09
2043,Heat_Pump,True,1.7174854817474843,25.65,15.389999999999999,261.9895084485215,303.02950844852154,191.37809613147607,3.6514910745924873,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2043,NCC-H2,True,16196.414304132702,39.336,39.336,0.3236207872736135,78.99562078727361,,3.6514910745924873,,,Energy-based,0.2,2256.6480388079895,7177.2,730.2982149184975,,,,,
2043,NCC-Electricity,True,16194.440574132703,43.48,43.480000000000004,0.466491803713087,87.42649180371309,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2043,RE_PPA,True,0.463508127544458,0.0,0.0,19137.809613147612,19137.809613147612,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.06
2044,Heat_Pump,True,1.7174854817474843,25.2,15.12,261.9895084485215,302.3095084485215,191.37809613147607,3.481004901960784,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2044,NCC-H2,True,16196.414304132702,38.648,38.648,0.30851110515218194,77.60451110515218,,3.481004901960784,,,Energy-based,0.2,2256.6480388079895,7177.2,696.2009803921568,,,,,
2044,NCC-Electricity,True,16194.440574132703,42.64,42.64,0.466491803713087,85.74649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2044,RE_PPA,True,-0.6952621913166872,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.04
2045,Heat_Pump,True,1.7174854817474843,24.75,14.85,261.9895084485215,301.58950844852154,191.37809613147607,3.3105178065201986,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2045,NCC-H2,True,16196.414304132702,37.96,37.96,0.2934013412449454,76.21340134124495,,3.3105178065201986,,,Energy-based,0.2,2256.6480388079895,7177.2,662.1035613040397,,,,,
2045,NCC-Electricity,True,16194.440574132703,41.8,41.800000000000004,0.466491803713087,84.06649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2045,RE_PPA,True,-4.171573147900123,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.02
2046,Heat_Pump,True,1.7174854817474843,24.3,14.58,261.9895084485215,300.8695084485215,191.37809613147607,3.1736467930545715,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2046,NCC-H2,True,16196.414304132702,37.272,37.272,0.2812708706432538,74.82527087064325,,3.1736467930545715,,,Energy-based,0.2,2256.6480388079895,7177.2,634.7293586109143,,,,,
2046,NCC-Electricity,True,16194.440574132703,40.96,40.96,0.466491803713087,82.38649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
2046,RE_PPA,True,-11.124195061066995,0.0,0.0,1000000000.0,1000000000.0,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.01
2047,Heat_Pump,True,1.7174854817474843,23.85,14.309999999999999,261.9895084485215,300.1495084485215,191.37809613147607,3.036774856780061,2351173.8606772036,33856903.593751736,Energy-based,,,,,,,,,
2047,NCC-H2,True,16196.414304132702,36.584,36.584,0.269140318255757,73.43714031825576,,3.036774856780061,,,Energy-based,0.2,2256.6480388079895,7177.2,607.3549713560122,,,,,
2047,NCC-Electricity,True,16194.440574132703,40.12,40.12,0.466491803713087,80.70649180371308,,,,,Energy-based,,2256.6480388079895,7177.2,,5.5,1052.5795287231183,0.05,,
